V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44
1,1,1,1,1,1,1,1,1,1,1,1,0.581,1,1,1,1,1,1,1,1,1,1,1,1,0.478,1,1,1,1,1,1,1,1,1,1,0.284,1,1,1,1,1,1,1
0.021,0.293,0.138,0.201,0.261,0.311,0.186,0.78,0.013,0.08,0.664,0.048,1,0.922,0.377,0.115,0.295,0.164,0.481,0.512,0.08,0.061,0.046,0.193,0.156,0.854,0.05,0.14,0.284,0.548,0.222,0.237,0.146,0.509,0.075,0.13,0.221,0.102,0.176,0.155,0.24,0.217,0.747,0.486
0.205,0.306,0.094,0.397,0.169,0.2,0.11,0.151,0.052,0.294,0.589,0.05,0.437,0.9,0.07,0.051,0.155,0.242,0.027,0.332,0.098,0.082,0.039,0.111,0.165,0.987,0.14,0.022,0.139,0.168,0.046,0.09,0.06,0.709,0.124,0.245,0.504,0.05,0.084,0.071,0.107,0.482,0.668,0.497
0.234,0.31,0.104,0.355,0.036,0.062,0.135,0.089,0.013,0.275,0.58,0.019,0.447,0.341,0.143,0.03,0.241,0.072,0.186,0.09,0.036,0.02,0.065,0.117,0.096,0.966,0.007,0.047,0.04,0.036,0.036,0.045,0.039,0.501,0.024,0.213,1,0.071,0.046,0.071,0.289,0.551,0.574,0.463
0.241,0.315,0.075,0.217,0.094,0.03,0.126,0.094,0.026,0.23,0.591,0.022,0.609,0.547,0.09,0.074,0.243,0.095,0.181,0.037,0.08,0.009,0.041,0.075,0.142,0.953,0.013,0.045,0.078,0.029,0.114,0.047,0.025,0.635,0.039,0.26,0.826,0.087,0.122,0.044,0.144,0.459,0.717,0.48
0.19,0.302,0.065,0.15,0.015,0.054,0.104,0.105,0.03,0.265,0.584,0.01,0.534,0.416,0.057,0.039,0.187,0.077,0.16,0.066,0.068,0.017,0.044,0.086,0.063,0.955,0.009,0.05,0.023,0.018,0.132,0.055,0.06,0.596,0.052,0.29,0.775,0.047,0.084,0.055,0.218,0.523,0.633,0.489
0.2,0.325,0.094,0.175,0.03,0.038,0.119,0.081,0.022,0.234,0.593,0.02,0.312,0.498,0.068,0.041,0.193,0.068,0.118,0.063,0.087,0.03,0.042,0.112,0.034,1,0.039,0.034,0.061,0.053,0.112,0.035,0.029,0.572,0.053,0.296,0.661,0.049,0.072,0.058,0.193,0.517,0.714,0.495
0.184,0.317,0.086,0.144,0.018,0.049,0.119,0.113,0.021,0.247,0.605,0.016,0.368,0.521,0.078,0.038,0.18,0.092,0.12,0.062,0.071,0.034,0.03,0.107,0.051,0.999,0.018,0.045,0.052,0.03,0.141,0.034,0.034,0.563,0.046,0.251,0.735,0.05,0.093,0.045,0.231,0.472,0.699,0.459
0.188,0.325,0.087,0.169,0.03,0.014,0.112,0.102,0.019,0.249,0.608,0.019,0.373,0.496,0.094,0.046,0.184,0.045,0.127,0.063,0.073,0.022,0.034,0.109,0.052,0.987,0.022,0.037,0.049,0.046,0.146,0.051,0.028,0.565,0.035,0.284,0.8,0.049,0.108,0.055,0.225,0.443,0.735,0.48
0.21,0.315,0.085,0.146,0.015,0.033,0.115,0.091,0.023,0.259,0.589,0.012,0.443,0.544,0.08,0.039,0.206,0.052,0.16,0.057,0.077,0.019,0.032,0.115,0.049,0.954,0.016,0.038,0.053,0.073,0.135,0.042,0.045,0.568,0.043,0.304,0.675,0.064,0.099,0.06,0.202,0.462,0.69,0.448
