V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42
1,1,1,1,0.54,1,1,1,1,1,1,0.941,1,1,1,1,1,1,0.828,1,1,0.408,1,0.769,1,1,1,1,1,1,1,1,1,1,0.828,1,1,1,1,0.711,1,0.668,0.517,1,1,1,1,0.769,1,1,1,1,1,1,1,1,1,0.828,1,1,1,1,0.711,1,0.668,1,1,1,0.246,1,1,1,1,1,1,0.516,1,0.488,1,1,0.645,1,1,1,1,0.95,0.504,1,0.527,1,1,1,0.304,0.303,1,1,1,0.824,1,1,0.393,1,0.199,1,1,1,1,1,1,1,1,1,0.861,1,0.692,1,0.35,0.904,0.509,1,1,1,1,1,1,1,1,1,1,1,0.444,1,1,1,0.627,0.568,1,1,1,1,1,1,1,1,1,1,1,1
0.988,0.762,0.263,0.079,1,0.367,0.942,0.244,0.281,0.477,0.57,1,0.426,0.186,0.635,0.666,0.703,0.505,1,0.069,0.34,0.167,0.206,1,0.426,0.428,0.177,0.212,0.166,0.32,0.688,0.262,0.331,0.301,1,0.294,0.376,0.75,0.869,1,0.647,1,1,0.499,0.398,0.34,0.206,1,0.426,0.177,0.212,0.166,0.32,0.688,0.262,0.331,0.301,1,0.294,0.376,0.75,0.869,1,0.647,1,0.499,0.595,0.338,0.381,0.629,0.425,0.656,0.403,0.283,0.31,1,0.566,0.541,0.802,0.853,0.288,0.145,0.293,0.704,0.403,1,1,0.614,1,0.39,0.82,0.994,1,1,0.601,0.729,0.276,1,0.058,0.405,0.398,0.501,1,0.365,0.839,0.481,0.898,0.224,0.37,0.201,0.72,0.253,0.877,0.434,1,0.366,1,1,0.803,0.974,0.321,0.224,0.522,0.616,0.329,0.592,0.52,0.109,0.566,0.658,1,0.141,0.507,0.695,1,0.724,0.815,0.231,0.795,0.35,0.381,0.767,0.353,0.669,0.256,0.224,0.663,0.349
0.514,0.399,0.861,0.048,0.235,0.205,0.883,0.453,0.134,0.131,0.113,0.169,0.382,0.209,0.155,0.738,0.342,0.11,0.743,0.27,0.191,1,0.095,0.291,0.098,0.405,0.381,0.351,0.67,0.551,0.319,0.152,0.294,0.027,0.294,0.145,0.325,0.358,0.586,0.442,0.498,0.4,0.7,0.347,0.151,0.191,0.095,0.291,0.098,0.381,0.351,0.67,0.551,0.319,0.152,0.294,0.027,0.294,0.145,0.325,0.358,0.586,0.442,0.498,0.4,0.347,0.214,0.195,1,0.335,0.547,0.275,0.061,0.114,0.234,0.861,0.677,1,0.348,0.409,1,0.552,0.08,0.509,0.036,0.489,0.597,0.181,0.479,0.226,0.238,0.507,0.198,0.578,0.271,0.283,0.193,0.113,0.324,0.235,0.873,0.144,0.602,0.064,0.502,0.417,0.368,0.231,0.332,0.092,0.197,0.32,1,0.537,0.494,0.37,0.209,0.482,0.97,0.126,0.122,0.54,0.518,0.265,0.109,0.234,0.499,0.872,0.391,0.864,0.337,0.257,0.878,0.369,0.578,1,0.575,0.314,0.254,0.334,0.294,0.605,0.31,0.863,0.127,0.361,0.133,0.282
0.443,0.205,0.235,0.022,0.36,0.09,0.372,0.216,0.134,0.197,0.042,0.125,0.158,0.118,0.125,0.321,0.255,0.167,0.289,0.447,0.308,0.546,0.077,0.324,0.086,0.072,0.402,0.109,0.15,0.292,0.216,0.071,0.36,0.106,0.152,0.055,0.236,0.225,0.224,0.422,0.296,0.159,0.035,0.493,0.09,0.308,0.077,0.324,0.086,0.402,0.109,0.15,0.292,0.216,0.071,0.36,0.106,0.152,0.055,0.236,0.225,0.224,0.422,0.296,0.159,0.493,0.396,0.178,0.574,0.2,0.106,0.176,0.093,0.026,0.117,0.694,0.605,0.238,0.108,0.225,0.529,0.196,0.022,0.21,0.037,0.494,0.926,0.458,0.156,0.136,0.479,0.356,0.829,0.781,0.126,0.209,0.221,0.173,0.177,0.129,1,0.239,0.391,0.136,0.217,0.223,0.316,0.175,0.202,0.112,0.364,0.269,0.52,0.571,0.174,0.165,0.257,0.358,1,0.875,0.418,0.05,0.474,0.263,0.27,0.232,0.388,0.863,0.015,0.741,0.39,0.141,0.448,0.359,0.094,0.81,0.449,0.326,0.415,0.326,0.446,0.069,0.285,0.736,0.244,0.116,0.367,0.234
0.164,0.107,0.259,0.095,0.023,0.018,0.173,0.361,0.069,0.197,0.105,0.396,0.106,0.083,0.073,0.437,0.047,0.275,0.377,0.495,0.067,0.624,0.005,0.466,0.165,0.019,0.378,0.221,0.162,0.072,0.142,0.033,0.422,0.05,0.146,0.029,0.134,0.09,0.118,0.379,0.17,0.149,0.423,0.309,0.036,0.067,0.005,0.466,0.165,0.378,0.221,0.162,0.072,0.142,0.033,0.422,0.05,0.146,0.029,0.134,0.09,0.118,0.379,0.17,0.149,0.309,0.069,0.072,0.935,0.191,0.159,0.365,0.072,0.034,0.078,0.58,0.527,0.056,0.276,0.094,0.109,0.11,0.138,0.41,0.041,0.607,0.381,0.225,0.406,0.053,0.079,0.074,0.541,0.197,0.156,0.221,0.219,0.226,0.3,0.073,0.72,0.157,0.232,0.146,0.26,0.018,0.349,0.016,0.097,0.005,0.116,0.136,0.648,0.2,0.159,0.301,0.33,0.439,0.671,0.18,0.352,0.042,0.029,0.303,0.144,0.3,0.143,0.342,0.249,0.503,0.277,0.222,0.627,0.357,0.435,0.218,0.328,0.161,0.073,0.22,0.171,0.237,0.267,0.591,0.171,0.234,0.332,0.059
0.086,0.168,0.128,0.095,0.035,0.147,0.195,0.287,0.038,0.132,0.104,0.062,0.092,0.123,0.031,0.034,0.096,0.127,0.186,0.278,0.116,0.824,0.099,0.181,0.093,0.054,0.134,0.064,0.117,0.13,0.101,0.006,0.299,0.024,0.151,0.042,0.098,0.104,0.271,0.333,0.106,0.055,0.211,0.202,0.073,0.116,0.099,0.181,0.093,0.134,0.064,0.117,0.13,0.101,0.006,0.299,0.024,0.151,0.042,0.098,0.104,0.271,0.333,0.106,0.055,0.202,0.142,0.032,0.135,0.064,0.078,0.163,0.132,0.057,0.097,0.225,0.336,0.276,0.224,0.057,0.111,0.087,0.024,0.126,0.046,0.182,0.152,0.23,0.5,0.054,0.158,0.051,0.162,0.036,0.108,0.126,0.215,0.25,0.103,0.048,0.575,0.078,0.233,0.101,0.315,0.042,0.117,0.053,0.128,0.044,0.086,0.124,0.265,0.233,0.122,0.166,0.182,0.377,0.329,0.191,0.119,0.176,0.264,0.226,0.066,0.075,0.183,0.336,0.09,0.205,0.157,0.092,0.103,0.166,0.433,0.53,0.452,0.049,0.093,0.201,0.218,0.065,0.268,0.142,0.011,0.161,0.152,0.181
0.166,0.034,0.374,0.036,0.121,0.041,0.131,0.12,0.064,0.075,0.09,0.107,0.134,0.083,0.004,0.278,0.036,0.073,0.289,0.239,0.103,0.235,0.055,0.065,0.101,0.029,0.273,0.079,0.185,0.134,0.103,0.057,0.131,0.06,0.15,0.018,0.131,0.124,0.083,0.302,0.013,0.089,0.288,0.18,0.047,0.103,0.055,0.065,0.101,0.273,0.079,0.185,0.134,0.103,0.057,0.131,0.06,0.15,0.018,0.131,0.124,0.083,0.302,0.013,0.089,0.18,0.185,0.118,0.204,0.042,0.07,0.109,0.023,0.042,0.094,0.067,0.158,0.446,0.224,0.076,0.483,0.008,0.039,0.154,0.056,0.138,0.349,0.167,0.381,0.05,0.149,0.116,0.411,0.203,0.09,0.091,0.151,0.098,0.06,0.054,0.24,0.07,0.255,0.012,0.197,0.202,0.151,0.043,0.038,0.083,0.216,0.097,0.072,0.217,0.098,0.02,0.069,0.365,0.441,0.457,0.129,0.082,0.151,0.208,0.091,0.025,0.126,0.258,0.159,0.241,0.275,0.094,0.143,0.22,0.295,0.441,0.167,0.141,0.082,0.23,0.178,0.304,0.168,0.425,0.012,0.131,0.136,0.004
0.133,0.076,0.062,0.092,0.057,0.053,0.137,0.188,0.04,0.167,0.043,0.222,0.133,0.043,0.044,0.246,0.083,0.088,0.14,0.027,0.082,0.173,0.064,0.011,0.059,0.055,0.064,0.162,0.118,0.074,0.065,0.016,0.092,0.057,0.088,0.019,0.208,0.137,0.113,0.179,0.091,0.117,0.143,0.133,0.063,0.082,0.064,0.011,0.059,0.064,0.162,0.118,0.074,0.065,0.016,0.092,0.057,0.088,0.019,0.208,0.137,0.113,0.179,0.091,0.117,0.133,0.141,0.064,0.107,0.124,0.091,0.123,0.048,0.013,0.009,0.459,0.279,0.019,0.19,0.117,0.16,0.055,0.049,0.153,0.014,0.264,0.199,0.192,0.313,0.038,0.426,0.12,0.251,0.13,0.072,0.1,0.144,0.19,0.079,0.06,0.036,0.08,0.169,0.12,0.236,0.178,0.041,0.032,0.142,0.051,0.152,0.07,0.222,0.015,0.166,0.05,0.015,0.208,0.155,0.185,0.24,0.105,0.071,0.193,0.069,0.062,0.19,0.036,0.169,0.667,0.144,0.047,0.15,0.201,0.307,0.627,0.286,0.101,0.099,0.112,0.065,0.425,0.096,0.2,0.221,0.108,0.256,0.121
0.069,0.089,0.063,0.042,0.067,0.025,0.13,0.216,0.069,0.105,0.103,0.143,0.106,0.02,0.093,0.122,0.03,0.03,0.2,0.255,0.1,0.078,0.03,0.156,0.124,0.063,0.109,0.124,0.055,0.049,0.115,0.05,0.065,0.044,0.055,0.016,0.086,0.127,0.113,0.093,0.077,0.114,0.111,0.036,0.028,0.1,0.03,0.156,0.124,0.109,0.124,0.055,0.049,0.115,0.05,0.065,0.044,0.055,0.016,0.086,0.127,0.113,0.093,0.077,0.114,0.036,0.061,0.126,0.155,0.054,0.021,0.187,0.091,0.045,0.08,0.136,0.11,0.285,0.068,0.055,0.233,0.027,0.047,0.169,0.051,0.204,0.072,0.106,0.201,0.057,0.225,0.048,0.141,0.084,0.095,0.034,0.086,0.082,0.175,0.038,0.275,0.076,0.167,0.138,0.051,0.119,0.156,0.023,0.094,0.032,0.084,0.075,0.226,0.059,0.271,0.151,0.064,0.144,0.207,0.247,0.124,0.085,0.037,0.058,0.077,0.125,0.06,0.226,0.051,0.25,0.074,0.049,0.173,0.134,0.093,0.654,0.071,0.089,0.098,0.015,0.081,0.246,0.128,0.153,0.052,0.053,0.104,0.107
0.103,0.192,0.26,0.025,0.081,0.036,0.175,0.12,0.014,0.025,0.046,0.092,0.083,0.074,0.055,0.023,0.05,0.061,0.242,0.141,0.086,0.176,0.029,0.05,0.104,0.079,0.187,0.107,0.04,0.067,0.092,0.071,0.073,0.072,0.122,0.101,0.154,0.069,0.153,0.158,0.168,0.148,0.147,0.138,0.023,0.086,0.029,0.05,0.104,0.187,0.107,0.04,0.067,0.092,0.071,0.073,0.072,0.122,0.101,0.154,0.069,0.153,0.158,0.168,0.148,0.138,0.08,0.07,0.069,0.106,0.008,0.129,0.1,0.059,0.029,0.149,0.126,0.026,0.054,0.115,0.132,0.041,0.034,0.17,0.028,0.109,0.074,0.12,0.202,0.032,0.171,0.066,0.072,0.115,0.027,0.051,0.104,0.27,0.138,0.049,0.243,0.065,0.128,0.183,0.053,0.022,0.061,0.073,0.097,0.033,0.19,0.087,0.185,0.019,0.133,0.067,0.105,0.15,0.023,0.252,0.171,0.032,0.016,0.082,0.136,0.064,0.053,0.11,0.096,0.382,0.147,0.02,0.17,0.026,0.04,0.759,0.141,0.04,0.173,0.092,0.037,0.338,0.125,0.06,0.039,0.078,0.153,0.028
